Publisher,Titles
Dover Publications,[Anna Karenina, The Kingdom of God Is Within You, The Trojan Women and Hippolytus, The Oresteia Trilogy: Agamemnon/The Libation-Bearers/The Furies, Pride and Prejudice, The House of Mirth, A Modest Proposal and Other Satirical Works, A General History of the Pyrates, Adventures of Huckleberry Finn, The Wit and Wisdom of Mark Twain, Howards End, Gorgias/Timaeus, Three Men in a Boat: To Say Nothing of the Dog, An Ideal Husband, The Woman in White, Ruthless Rhymes for Heartless Homes and More Ruthless Rhymes, Pygmalion, The Metamorphosis and Other Stories, The Burgess Bird Book for Children, The Burgess Animal Book for Children, The Adventures of Jimmy Skunk, Best Science Fiction Stories of H. G. Wells, Technical Manual and Dictionary of Classical Ballet, Ballet Class, Selections from Don Quixote - Selecciones de Don Quijote de la Mancha, Women in Love, Babbitt, The Oil Jar and Other Stories, The Road Not Taken and Other Poems, The Castle of Otranto, The Worm Ouroboros, Eight Cousins (Eight Cousins  #1), The Sword of Welleran and Other Stories, Thirty Years that Shook Physics: The Story of Quantum Theory, Introduction to Linear Algebra and Differential Equations, Black Beauty (Coloring Book), The House of the Dead, The Idiot, Pictorial Encyclopedia of Trades and Industry  Vol 1, Oliver Twist, Critique of Pure Reason, Dr. Faustus, Politics, The Overcoat and Other Short Stories, The Rime of the Ancient Mariner and Other Poems, The World as Will and Representation  Vol. 1, Essay on the Freedom of the Will, The Wit and Wisdom of Abraham Lincoln: A Book of Quotations, The Wisdom of Life, Discourse on the Origin of Inequality, The Marriage of Heaven and Hell, Flowers of Evil and Other Works/Les Fleurs du Mal et Oeuvres Choisies : A Dual-Language Book (Dover Foreign Language Study Guides) (English and French Edition), Intimate Journals, Demian, The Philosophy of History, Quicksand, The Jew of Malta, Diary of a Madman and Other Stories, The Will to Believe  Human Immortality and Other Essays in Popular Philosophy, The Philosophy of History, Philosophy of Right, The Pilgrim's Progress, The Communist Manifesto and Other Revolutionary Writings: Marx  Marat  Paine  Mao  Gandhi  and Others, The Gift of the Magi and Other Short Stories, 1001 Illuminated Initial Letters: 27 Full-Color Plates, Hunger, World War One British Poets: Brooke  Owen  Sassoon  Rosenberg and Others, On the Origin of Species by Means of Natural Selection, Physics of Fully Ionized Gases, Best Ghost and Horror Stories, Children's Christmas Stories and Poems: In Easy-to-Read Type, The Odyssey, The Secret Garden Coloring Book, Autobiography of Thomas Jefferson, Mozart's Don Giovanni (the Dover Opera Libretto Series), Arms and Armor: A Pictorial Archive from Nineteenth-Century Sources, Young Goodman Brown and Other Short Stories, Galapagos: World's End, The Theban Plays: Oedipus Rex  Oedipus at Colonus & Antigone, Life Is a Dream, Life Is A Dream = La Vida Es Sueño, Great Speeches by African Americans: Frederick Douglass  Sojourner Truth  Dr. Martin Luther King  Jr.  Barack Obama  and Others, Apologia Pro Vita Sua (A Defense of One's Life), Great Russian Short Stories, Kim]
Interlink Publishing Group,[Kahlil Gibran: His Life and World]
Lantern Books,[God's Covenant with Animals: A Biblical Basis for the Humane Treatment of All Creatures]
Bristol Classical Press,[Euripides: Medea, Euripides: Iphigenia at Aulis (Companions to Greek & Roman Tragedy), Aristophanes and His Theatre of the Absurd, Theocritus: Select Poems: Select Poems, Die Leiden des Jungen Werther]
America's Test Kitchen,[The Best of America's Test Kitchen 2007: The Year's Best Recipes  Equipment Reviews  and Tastings, Cook's Illustrated 2005 (Cook's Illustrated Annuals)]
Living Books,[Four Mothers at Chautuaqua]
Arkana,[The Ghost in the Machine]
International Code Council,[2006 International Building Code, International Building Code 2003]
Oberon Books,[The Coming of Godot: A Short History of a Masterpiece]
Montena,[El cubo B (Artemis Fowl  #3), La venganza de opal (Artemis Fowl  #4), Encuentro en el �?rtico (Artemis Fowl  #2)]
Acropolis Books (NY),[Black on Red: My 44 Years Inside the Soviet Union: An Autobiography]
Marshall Cavendish Editions,[Kenang-Kenangan Seorang Geisha (Memoirs of a Geisha)]
Rebel Press,[Leaving the 20th Century: The Incomplete Work of the Situationist International]
Golden Gryphon Press,[The Empire of Ice Cream, The Fantasy Writer's Assistant and Other Stories]
William Morrow & Company (NYC),[The First Man in Rome (Masters of Rome  #1)]
Bantam Books  Inc.,[Exodus]
Park Street Press,[Moksha: Writings on Psychedelics & the Visionary Experience]
Vintage,[The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic, The Untouchable, The Burnt Orange Heresy (Vintage Crime/Black Lizard), The Names, Where I Was From, Living to Tell the Tale, Memoirs of a Geisha, Memoirs of a Geisha, The Power Broker: Robert Moses and the Fall of New York, The Curious Incident of the Dog in the Night-Time, Flaubert's Parrot, The Complete Stories of Truman Capote, Other Voices  Other Rooms, Aké: The Years of Childhood, Cities of Salt (مدن الملح #1), Corelli's Mandolin, The Curious Incident of the Dog in the Night-Time, The Sea, The Book of Evidence (The Freddie Montgomery Trilogy #1), Athena (The Freddie Montgomery Trilogy #3), Doctor Copernicus  (The Revolutions Trilogy #1), Shroud (The Cleave Trilogy #2), The Autograph Man, White Teeth, The Lighthouse (Adam Dalgliesh #13), A Taste for Death (Adam Dalgliesh  #7), Lunar Park, The Cold Six Thousand (Underworld USA #2), Dispatches, Maximum City: Bombay Lost and Found, Catch-22, A Moveable Feast, Berlin Blues, The Talking Horse and the Sad Girl and the Village Under the Sea: Poems, Fury, A Heartbreaking Work of Staggering Genius, You Shall Know Our Velocity!, How We Are Hungry, A Virtuous Woman, Breath  Eyes  Memory, A Lesson Before Dying, A Fine Balance, Oscar Wilde, The Adolescent, The Middle Passage, Magic Seeds, Anil's Ghost, A Short History of Byzantium, A History of Venice, Beloved, The Axe (The Master of Hestviken  #1), The Mistress of Husaby (Kristin Lavransdatter  #2), The Snake Pit (The Master of Hestviken  #2), The Son Avenger (The Master of Hestviken  #4), An Imaginary Life, The Great World, A Very Long Engagement, His Excellency: George Washington, Ghostwritten, Enduring Love, The Radicalism of the American Revolution, The Girl at the Lion d'Or, Human Traces, The Year of Magical Thinking, After Henry, The Stories of Vladimir Nabokov, The Luzhin Defense, Lincoln, Burr, The Historian's Craft: Reflections on the Nature and Uses of History and the Techniques and Methods of Those Who Write It., Sputnik Sweetheart, The Moor's Last Sigh, Angels, Glamorama, The Grass Harp  Including A Tree of Night and Other Stories, The Cement Garden, Atonement, The Ruined Map, The Face of Another, Secret Rendezvous, The Philosophy of Jean-Paul Sartre, The Road to Reality: A Complete Guide to the Laws of the Universe, Losers: The Road to Everyplace But the White House, The Ends of the Earth: A Journey to the Frontiers of Anarchy, Light in August, The Working Poor: Invisible in America, Haruki Murakami and the Music of Words, A Wild Sheep Chase (The Rat  #3), Love, Song of Solomon, Jazz, Tar Baby, All of Us: The Collected Poems, Short Cuts: Selected Stories, In Pharaoh's Army: Memories of the Lost War, The Vintage Book of Contemporary American Short Stories, The Living and the Dead: Robert McNamara and Five Lives of a Lost War, Sons of Mississippi: A Story of Race and Its Legacy, The Colossus and Other Poems, American Pastoral (The American Trilogy  #1), I Married a Communist (The American Trilogy  #2), Sabbath's Theater, The Counterlife, The Black Book, The Human Stain (The American Trilogy  #3), Sabbath's Theater, The Rebel, The Fall, Resistance  Rebellion and Death: Essays, Buried Child, Ada  or Ardor: A Family Chronicle, Strong Opinions, Three Plays: Desire Under the Elms / Strange Interlude / Mourning Becomes Electra, The Risk Pool, The People's Tycoon: Henry Ford and the American Century, The Sunset Limited, No Country for Old Men, True and False: Heresy and Common Sense for the Actor, For the Time Being, Losing Battles, The Eye of the Story: Selected Essays and Reviews, Operation Shylock: A Confession, The Aeneid, Winter's Tales, Red: Passion and Patience in the Desert, James Joyce's Ulysses, The Master of Go, The Noonday Demon: An Anatomy of Depression, Beauty and Sadness, Touching the Rock: An Experience of Blindness, The Shifting Realities of Philip K. Dick, World Light, Under the Glacier, Paradise Reclaimed, Iceland's Bell, Island: Collected Stories, Selected Stories, Something I've Been Meaning to Tell You: 13 Stories, The Beggar Maid: Stories of Flo and Rose, Lives of Girls and Women, Open Secrets, Going Native, Einstein's Dreams, Awakenings, Salonica  City of Ghosts: Christians  Muslims and Jews  1430-1950, War Trash, Midnight's Children, Art and Lies, Art Objects: Essays on Ecstasy and Effrontery, The World and Other Places: Stories, Written on the Body, Stranger in the Forest: On Foot Across Borneo, Exile and the Kingdom, Lyrical and Critical Essays, The Possessed, Fugitive Pieces, The Dive From Clausen's Pier, Titan: The Life of John D. Rockefeller  Sr., The Disappointment Artist, As She Climbed Across the Table, The Diagnosis, Arctic Dreams, Field Notes: The Grace Note of the Canyon Wren, The Rediscovery of North America, John James Audubon, Masters of Death: The SS-Einsatzgruppen and the Invention of the Holocaust, Isaac Newton, The Stranger, Invisible Man, Crucible of War: The Seven Years' War and the Fate of Empire in British North America  1754 - 1766, A Visitation of Spirits, Surely You're Joking  Mr. Feynman!, The Anthropology of Turquoise: Reflections on Desert  Sea  Stone  and Sky, Eating Stone: Imagination and the Loss of the Wild, The Trial, Go Down  Moses, South of the Border  West of the Sun, Dance Dance Dance, Mulliner Nights (Mr. Mulliner  #3), Beyond Good and Evil: Prelude to a Philosophy of the Future, Kentucky Straight: Stories, My Life  Volume I: The Early Years, Last Night: Stories, I  Claudius (Claudius  #1), Sanctuary, Money, The Rachel Papers, Yellow Dog, Success, Koba the Dread: Laughter and the Twenty Million, Dead Babies, Virginia Woolf, Chilly Scenes of Winter, Who Will Run the Frog Hospital?, Family Matters, Landscape and Memory, The Embarrassment of Riches: An Interpretation of Dutch Culture in the Golden Age, Blood on the Moon (Lloyd Hopkins  #1), Culture and Imperialism, Strange Pilgrims, Doce cuentos peregrinos, Survivor, Choke, Created in Darkness by Troubled Americans: The Best of McSweeney's Humor Category, The Origin of Satan: How Christians Demonized Jews  Pagans and Heretics, The Crack in Space, Vulcan's Hammer, American Sphinx: The Character of Thomas Jefferson, The Time of Our Singing, Gain, The Grotesque, Port Mungo, Experience, Heavy Water and Other Stories, Visiting Mrs Nabokov and Other Excursions, How to Travel with a Salmon & Other Essays, The Consolations of Philosophy, How Proust Can Change Your Life, Status Anxiety, Chronicle of a Death Foretold, Imaginary Friends, Melville: His World and Work, Common Ground: A Turbulent Decade in the Lives of Three American Families, Out, Democracy in America Volume 2, The Rings of Saturn, Learned Optimism: How to Change Your Mind and Your Life, Last Tales, Out of Africa / Shadows on the Grass, A Multitude of Sins, Hiroshima, A Civil Action, Gideon's Trumpet: How One Man  a Poor Prisoner  Took His Case to the Supreme Court-And Changed the Law of the United States, The Death of Virgil, Acts of Faith, Mortals, Whites, Far Afield, Checkpoint, Double Fold: Libraries and the Assault on Paper, A Box of Matches, Remembrance of Things Past: Volume II - The Guermantes Way & Cities of the Plain, Ratner's Star, CivilWarLand in Bad Decline, The Secret History, The Death and Rebirth of the Seneca, Letting Go, My Life as a Man, Patrimony, The Great American Novel, The Professor of Desire, Deception, When She Was Good, The Dying Animal, For the Relief of Unbearable Urges, The Brief History of the Dead, The Swimming-Pool Library, The Case of the Midwife Toad, Woman Hollering Creek and Other Stories, The Dew Breaker, The Progress of Love, The Story of a Shipwrecked Sailor, The Art of Fiction: Notes on Craft for Young Writers, Lolita: The Screenplay, Now and on Earth, Caramelo, South of the Border  West of the Sun, Mama Day, The Bridegroom, Ocean of Words, The Bridegroom, In the Pond, Night Falls Fast: Understanding Suicide, Selected Stories, In the Bedroom: Seven Stories, Doctor Faustus, The Makioka Sisters, Quicksand, Naomi, Seven Japanese Tales, The Reed Cutter & Captain Shigemoto's Mother, A General Theory of Love, Because the Night (Lloyd Hopkins  #2), Suicide Hill (Lloyd Hopkins  #3), The Pure in Heart (Simon Serrailler  #2), Filth, The Lemon Table, Hit Men: Power Brokers and Fast Money Inside the Music Business, Company, Nobody Knows My Name, Tell Me How Long the Train's Been Gone, If Beale Street Could Talk, The Amen Corner, Blues for Mister Charlie, Confederates in the Attic: Dispatches from the Unfinished Civil War, 1491: New Revelations of the Americas Before Columbus, I Don't Know How She Does It (Kate Reddy  #1), One Step Behind  (Kurt Wallander  #7), The White Lioness (Kurt Wallander  #3), Monkeys, Evening, The Tiny One, Encore Provence: New Adventures in the South of France, A Year in Provence, Cities of the Plain (The Border Trilogy  #3), Turtle Moon, Possession, A Star Called Henry, Yeats Is Dead, Aman: The Story of a Somali Girl, A History of the World in 10½  Chapters, Maps for Lost Lovers, The Civil War  Vol. 1: Fort Sumter to Perryville, Toujours Provence, Reading in the Dark, The Island at the Center of the World: The Epic Story of Dutch Manhattan and the Forgotten Colony That Shaped America, Walt Whitman's America, Blind Willow  Sleeping Woman]
Oberlin College Press,[Five T'ang Poets]
Pantheon,[The Ravishing of Lol Stein, Blue Shoes and Happiness (No. 1 Ladies' Detective Agency  #7), In the Company of Cheerful Ladies (No. 1 Ladies' Detective Agency #6), Persepolis: The Story of a Childhood (Persepolis  #1), Embroideries, Julius Knipl  Real Estate Photographer: The Beauty Supply District, Interaction Ritual - Essays on Face-to-Face Behavior, Mythology: The DC Comics Art of Alex Ross, The Complete Monty Python's Flying Circus: All the Words  Vol. 2, The Complete Monty Python's Flying Circus: All the Words: Volume 1, Peanuts: The Art of Charles M. Schulz, Black Hole, Epileptic, The Whalestoe Letters]
Simon & Schuster (Trade Division),[Closing Time, Run (Fearless  #3)]
Grove Press  Black Cat,[Layer Cake]
Heinemann-Octopus,[Dr No / Moonraker / Thunderball / From Russia with Love / On Her Majesty's Secret Service / Goldfinger]
Barnes  Noble Classics,[The Portrait of a Lady, Pride and Prejudice, A Tale of Two Cities, Moby-Dick, The Brothers Karamazov, Vanity Fair, The Woman in White, The Good Soldier, The Metamorphosis and Other Stories, The Complete Sherlock Holmes  Volume I, The Complete Sherlock Holmes  Volume II, The Three Musketeers, Kim, Main Street, The Idiot, A Tale of Two Cities, The House of Mirth, The House of Mirth, Oliver Twist, The Death of Ivan Ilych & Other Stories, The Idiot, Middlemarch, Ward No. 6 and Other Stories, Daniel Deronda, Essential Dialogues of Plato, Republic, The Communist Manifesto and Other Writings, Essential Tales and Poems, The Metamorphosis and Other Stories, Sense and Sensibility, The Strange Case of Dr. Jekyll and Mr. Hyde and Other Stories, Agnes Grey]
Diogenes,[Das Parfum. Die Geschichte eines Mörders]
Jimmy Patterson,[SantaKid]
Prestel Publishing,[Joseph Cornell: Secrets in a Box (Adventures in Art)]
Lulu.com,[A Million Little Pieces of Feces, Existential Meditation]
Ace,[Stranger in a Strange Land, Dragon's Eye (Stonefort  #1), Rose Daughter, Changing Planes, Tales from Earthsea (Earthsea Cycle  #5), Neuromancer, God of Tarot (Tarot  #1), Faith of Tarot (Tarot  #3), Hard Sell, Fractal Mode (Mode  #2), Goblin Moon (The Goblin Moon Duology #1), The Work of the Sun (The Green Lion Trilogy #3), The Castle of  the Silver Wheel, Rocket Ship Galileo (Heinlein's Juveniles  #1), Starship Troopers, The Lost Years of Merlin, The Mirror of Merlin, The Wings of Merlin, The Omega Cage (Matador  #4), The 97th Step (Matador  #5), The Accidental Time Machine, The Coming, Dragon's Treasure, The Moon in Hiding (The Green Lion Trilogy #2), Ship of Fools, The Eye of Charon (Age of Conan: Hyborian Adventures: A Soldier's Quest  #2), Furies of Calderon (Codex Alera  #1), Betcha Can't Read Just One, Interlopers, Magic Bites (Kate Daniels  #1), Galactic Effectuator, The Green Pearl (Lyonesse  #2), The Outlaws of Sherwood, The Hero and the Crown (Damar  #2), The Once and Future King (The Once and Future King  #1-4)]
Hachette Books,[Unleashing the Ideavirus: Stop Marketing AT People! Turn Your Ideas into Epidemics by Helping Your Customers Do the Marketing thing for You., Scar Tissue, Lipstick Jungle, Lipstick Jungle, Jamie's Italy, Jamie's Dinners: The Essential Family Cookbook, The Pleasure of My Company, Shopgirl, There's No Place Like Here, For One More Day, Wherever You Go  There You Are: Mindfulness Meditation in Everyday Life, Betrayal of Trust: The Collapse of Global Public Health, Wicked: The Grimmerie, The Alibi, Charade, Best Kept Secrets, Not a Genuine Black Man: Or  How I Claimed My Piece of Ground in the Lily-White Suburbs, Nigella Bites: From Family Meals to Elegant Dinners--Easy  Delectable Recipes for Any Occasion, Feast: Food to Celebrate Life, How to Be a Domestic Goddess: Baking and the Art of Comfort Cooking, Dirty Jokes and Beer: Stories of the Unrefined, Reduced Shakespeare: The Attention-impaired Readers Guide to the World's Best Playwright]
Éditions du Rocher,[L'Épée de Darwin]
Dafina Books,[When Somebody Loves You Back (Soulmates Dissipate  #6)]
Random House  for Young Readers,[Charlie Oink]
Everymans Library,[Notes from Underground & A Confession (Everyman's Library)]
Chartwell Books,[Winchester Shotguns]
Buccaneer Books,[The Untouchables, A Room of One's Own, Adventures of the Scarlet Pimpernel]
Droemer Knaur,[Die Farbe von Wasser]
Tor Books,[Dreamer of Dune: The Biography of Frank Herbert, A Shadow in Summer (Long Price Quartet  #1), Time for the Stars (Heinlein's Juveniles  #10), The Santaroga Barrier, The Dosadi Experiment (ConSentiency Universe  #2), The Eyes of Heisenberg, Empire (Empire  #1), Speaker for the Dead (Ender's Saga  #2), The Call of Earth (Homecoming  #2), Xenocide (Ender's Saga  #3), Shadow of the Hegemon (The Shadow Series  #2), Ender's Game Boxed Set: Ender's Game  Ender's Shadow  Shadow of the Hegemon, Speaker for the Dead (Ender's Saga  #2), A Crown of Swords (The Wheel of Time  #7), Wolfskin (Saga of the Light Isles  #1), The Dark Mirror (The Bridei Chronicles  #1), Child of the Prophecy (Sevenwaters  #3), Son of the Shadows (Sevenwaters  #2), Foxmask (Saga of the Light Isles  #2), Stork Naked (Xanth  #30), Pet Peeve (Xanth #29), Roc and a Hard Place (Xanth #19), The Dastard (Xanth #24), Harpy Thyme (Xanth #17), Anthonology, Shame of Man (Geodyssey  #2), The Fourth Book of Lost Swords: Farslayer's Story (Lost Swords  #4), The Arms of Hercules (Book of the Gods  #3), Berserker: Blue Death (Berserker  #8), The Fantasies of Robert A. Heinlein, Hunters of Dune (Dune Chronicles  #7), Wasteland of Flint, Voices From the Street, Drum Calls (Drums of Chaos  #2), The Dark Descent, The Medusa in the Shield, A Fabulous  Formless Darkness, The Ships of Earth (Homecoming Saga #3), A Mortal Bane (Magdalene La Batarde  #1), Down and Out in the Magic Kingdom, Someone Comes to Town  Someone Leaves Town, Eastern Standard Tribe, Children of the Mind (Ender's Saga  #4), Ghosts and Grisly Things, Legends, Nightmare At 20 000 Feet, Earthbound, Duel, What Dreams May Come, Hawkes Harbor, The Dragon Reborn (The Wheel of Time  #3), Lord of Chaos (The Wheel of Time  #6), Reliquary (Pendergast  #2), Godslayer (The Sundering  #2), Alvin Journeyman (Tales of Alvin Maker  #4), Earthborn (Homecoming Saga #5), Pastwatch: The Redemption of Christopher Columbus, The Worthing Saga (Worthing  #1-3), Lurulu, The SFWA Grand Masters 3, Ports of Call, The Demon Princes  Volume Two: The Face  The Book of Dreams, The Last Castle/Nightwings (Tor Double Novel #15), Soldier of Sidon (Latro #3), The Prestige, They Came from Below, Glass Soup  (Vincent Ettrich  #2), Sandworms of Dune (Dune Chronicles #8), Phantom (Sword of Truth  #10), The Sword of Truth  Boxed Set I: Wizard's First Rule  Blood of the Fold  Stone of Tears (Sword of Truth  #1-3), Wizard's First Rule (Sword of Truth  #1), Naked Empire (Sword of Truth  #8), Legends 2 (Legends 1  Volume 2of3), Hart's Hope, A Quantum Murder (Greg Mandel  #2), Mindstar Rising (Greg Mandel  #1)]
Victor Gollancz,[God Emperor of Dune (Dune Chronicles #4)]
Ulysses Press,[Mugglenet.Com's What Will Happen in Harry Potter 7: Who Lives  Who Dies  Who Falls in Love and How Will the Adventure Finally End?, Dirty Italian: Everyday Slang from "What's Up?" to "F*%# Off!"]
Harcourt,[Four Comedies: Lysistrata / The Frogs / The Birds / Ladies' Day, The Gospel According to Jesus Christ, Animals in Translation: Using the Mysteries of Autism to Decode Animal Behavior, Baudolino, The Double Flame: Love and Eroticism, Voices (Annals of the Western Shore  #2), Gifts (Annals of the Western Shore  #1), The Cyberiad, Frankenstein Makes a Sandwich, To the Lighthouse, Winter Is the Warmest Season]
American Diabetes Association,[Diabetes Meal Planning Made Easy]
David C. Cook,[The Heart of a Leader]
Avon Books (AvoNova),[Worlds Apart (Worlds 2)]
